audit_at_utc,run_id,decision_contract_version,ticker,taiwan_code,name,global_theme,driver_id,dynamic_driver_state,provenance_status,reaction_state,previous_reaction_state,entry_trigger_state,stock_vs_etf_state,candidate_action,portfolio_action,risk_gate_pass,decision_blockers,risk_blockers,strategy_version,deployment_mode,live_execution_authorized,execution_action,decision_session,public_lineage_id
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,6770.TW,6770,力積電,Foundry,MATURE_NODE_FOUNDRY_UTILIZATION,UNRESOLVED,NEEDS_SOURCE_BACKFILL,BROKEN,BROKEN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2345.TW,2345,智邦,AI_Networking,AI_NETWORKING_UPGRADE,UNRESOLVED,NEEDS_SOURCE_BACKFILL,BROKEN,BROKEN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,1519.TW,1519,華城,Power,POWER_ELECTRONICS_CAPEX,UNRESOLVED,NEEDS_SOURCE_BACKFILL,UNKNOWN,UNKNOWN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,5289.TWO,5289,宜鼎,Memory,NAND_STORAGE_CYCLE,ACTIVE_RESEARCH_VALIDATED,NEEDS_SOURCE_BACKFILL,BROKEN,BROKEN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2308.TW,2308,台達電,Power,POWER_ELECTRONICS_CAPEX,UNRESOLVED,NEEDS_SOURCE_BACKFILL,UNKNOWN,UNKNOWN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,1513.TW,1513,中興電,Power,POWER_ELECTRONICS_CAPEX,UNRESOLVED,NEEDS_SOURCE_BACKFILL,UNKNOWN,UNKNOWN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,2308.TW,2308,台達電,AI_Infrastructure,DATACENTER_POWER_INFRA,UNRESOLVED,NEEDS_SOURCE_BACKFILL,UNKNOWN,UNKNOWN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,8996.TW,8996,高力,AI_Server,AI_SERVER_THERMAL_DENSITY,UNRESOLVED,NEEDS_SOURCE_BACKFILL,UNKNOWN,UNKNOWN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,1605.TW,1605,華新,Copper,COPPER_COMMODITY_TRADE_INVENTORY,UNRESOLVED,NEEDS_SOURCE_BACKFILL,PERSISTENT,PERSISTENT,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,8996.TW,8996,高力,AI_Infrastructure,DATACENTER_COOLING_INFRA,UNRESOLVED,NEEDS_SOURCE_BACKFILL,UNKNOWN,UNKNOWN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,1608.TW,1608,華榮,Copper,COPPER_COMMODITY_TRADE_INVENTORY,UNRESOLVED,NEEDS_SOURCE_BACKFILL,UNKNOWN,UNKNOWN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,4938.TW,4938,和碩,Consumer_Tech,CONSUMER_ELECTRONICS_CYCLE,UNRESOLVED,NEEDS_SOURCE_BACKFILL,CONFIRMING,CONFIRMING,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,6230.TW,6230,尼得科超眾,AI_Server,AI_SERVER_THERMAL_DENSITY,UNRESOLVED,NEEDS_SOURCE_BACKFILL,BROKEN,BROKEN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
2026-09-06T02:30:46.740960+00:00,20260906T102742+0800-8e1355c0,2.7.1,1609.TW,1609,大亞,Copper,COPPER_COMMODITY_TRADE_INVENTORY,UNRESOLVED,NEEDS_SOURCE_BACKFILL,BROKEN,BROKEN,NOT_TRIGGERED,STOCK_BLOCKED_WEAK_EDGE,WATCH_RESEARCH,WATCH_RESEARCH,False,DRIVER_NOT_ACTIVE_RESEARCH_VALIDATED;EDGE_PROVENANCE_NOT_SOURCE_BACKED,RISK_POLICY_MISSING;PORTFOLIO_STATE_MISSING;NO_ENTRY_TRIGGER,,,,,2026-09-06,
