code,ticker,name,industry,exchange,market,listed_date,cfi_code,benchmark,theme,region,source
6720,6720.TWO,久昌,半導體業,TPEX,上櫃,2024/12/04,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6721,6721.TWO,信實,其他業,TPEX,上櫃,2022/04/29,ESVUFR,^TWII,其他業,TW,TWSE_ISIN
6725,6725.TWO,矽科宏晟,其他電子業,TPEX,上櫃,2025/12/30,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6727,6727.TWO,亞泰金屬,電子零組件業,TPEX,上櫃,2020/12/01,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN
6728,6728.TWO,上洋,居家生活,TPEX,上櫃,2020/12/25,ESVUFR,^TWII,居家生活,TW,TWSE_ISIN
6730,6730.TWO,常廣,生技醫療業,TPEX,上櫃,2025/12/10,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6732,6732.TWO,昇佳電子,半導體業,TPEX,上櫃,2020/06/08,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6733,6733.TWO,博晟生醫,生技醫療業,TPEX,上櫃,2021/01/28,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6735,6735.TWO,美達科技,其他電子業,TPEX,上櫃,2022/04/29,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6739,6739.TWO,竹陞科技,其他電子業,TPEX,上櫃,2024/09/02,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6741,6741.TWO,91APP*-KY,數位雲端,TPEX,上櫃,2021/05/25,ESVUFR,^TWII,數位雲端,TW,TWSE_ISIN
6751,6751.TWO,智聯服務,資訊服務業,TPEX,上櫃,2020/12/25,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN
6752,6752.TWO,叡揚,資訊服務業,TPEX,上櫃,2020/12/10,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN
6761,6761.TWO,穩得,電子零組件業,TPEX,上櫃,2021/11/08,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN
6762,6762.TWO,達亞,生技醫療業,TPEX,上櫃,2020/12/18,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6763,6763.TWO,綠界科技*,數位雲端,TPEX,上櫃,2022/03/15,ESVUFR,^TWII,數位雲端,TW,TWSE_ISIN
6767,6767.TWO,台微醫,生技醫療業,TPEX,上櫃,2021/01/25,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6785,6785.TWO,昱展新藥,生技醫療業,TPEX,上櫃,2024/01/24,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6788,6788.TWO,華景電,半導體業,TPEX,上櫃,2021/09/29,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6791,6791.TWO,虎門科技,資訊服務業,TPEX,上櫃,2022/11/14,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN
6803,6803.TWO,崑鼎,綠能環保,TPEX,上櫃,2010/05/27,ESVUFR,^TWII,綠能環保,TW,TWSE_ISIN
6804,6804.TWO,明係,運動休閒,TPEX,上櫃,2022/03/31,ESVUFR,^TWII,運動休閒,TW,TWSE_ISIN
6811,6811.TWO,宏碁資訊,數位雲端,TPEX,上櫃,2022/08/09,ESVUFR,^TWII,數位雲端,TW,TWSE_ISIN
6821,6821.TWO,聯寶,電子零組件業,TPEX,上櫃,2023/05/22,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN
6823,6823.TWO,濾能,半導體業,TPEX,上櫃,2022/06/30,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6829,6829.TWO,千附精密,半導體業,TPEX,上櫃,2022/03/11,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6840,6840.TWO,東研信超,其他電子業,TPEX,上櫃,2023/03/24,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6841,6841.TWO,長佳智能,生技醫療業,TPEX,上櫃,2023/03/01,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6843,6843.TWO,進典,電機機械,TPEX,上櫃,2022/11/21,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN
6844,6844.TWO,諾貝兒,生技醫療業,TPEX,上櫃,2024/03/08,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6846,6846.TWO,綠茵,食品工業,TPEX,上櫃,2023/05/15,ESVUFR,^TWII,食品工業,TW,TWSE_ISIN
6855,6855.TWO,數泓科,其他電子業,TPEX,上櫃,2022/10/06,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6856,6856.TWO,鑫傳,文化創意業,TPEX,上櫃,2023/10/27,ESVUFR,^TWII,文化創意業,TW,TWSE_ISIN
6859,6859.TWO,伯特光,光電業,TPEX,上櫃,2022/11/28,ESVUFR,^TWII,光電業,TW,TWSE_ISIN
6865,6865.TWO,偉康科技,數位雲端,TPEX,上櫃,2023/01/11,ESVUFR,^TWII,數位雲端,TW,TWSE_ISIN
6870,6870.TWO,騰雲,數位雲端,TPEX,上櫃,2023/09/14,ESVUFR,^TWII,數位雲端,TW,TWSE_ISIN
